concept_id,preferred_term,fsn
1306506001,Primary infiltrating duct carcinoma of upper outer quadrant of breast,Primary infiltrating duct carcinoma of upper outer quadrant of breast (disorder)
1306505002,Primary infiltrating duct carcinoma of upper inner quadrant of breast,Primary infiltrating duct carcinoma of upper inner quadrant of breast (disorder)
1306504003,Primary infiltrating duct carcinoma of lower outer quadrant of breast,Primary infiltrating duct carcinoma of lower outer quadrant of breast (disorder)
1306503009,Primary infiltrating duct carcinoma of lower inner quadrant of breast,Primary infiltrating duct carcinoma of lower inner quadrant of breast (disorder)
1306502004,Primary infiltrating duct carcinoma of axillary tail of breast,Primary infiltrating duct carcinoma of axillary tail of breast (disorder)
1306501006,Primary infiltrating duct carcinoma of central portion of breast,Primary infiltrating duct carcinoma of central portion of breast (disorder)
1306500007,Primary infiltrating duct carcinoma of axillary tail of left breast,Primary infiltrating duct carcinoma of axillary tail of left breast (disorder)
1306499003,Primary infiltrating duct carcinoma of axillary tail of right breast,Primary infiltrating duct carcinoma of axillary tail of right breast (disorder)
1306498006,Primary infiltrating duct carcinoma of central portion of left breast,Primary infiltrating duct carcinoma of central portion of left breast (disorder)
1306497001,Primary infiltrating duct carcinoma of central portion of right breast,Primary infiltrating duct carcinoma of central portion of right breast (disorder)
1306496005,Primary infiltrating duct carcinoma of upper outer quadrant of left breast,Primary infiltrating duct carcinoma of upper outer quadrant of left breast (disorder)
1306495009,Primary infiltrating duct carcinoma of upper inner quadrant of left breast,Primary infiltrating duct carcinoma of upper inner quadrant of left breast (disorder)
